File Name,,,20210525_209193940322_BB1_01.RCC,20210525_209193940322_BB2_02.RCC,20210525_209193940322_BB3_03.RCC,20210525_209193940322_FESS1_12.RCC,20210525_209193940322_Fn sup1_04.RCC,20210525_209193940322_Fn sup2_05.RCC,20210525_209193940322_Fn sup3_06.RCC,20210525_209193940322_Po sup1_07.RCC,20210525_209193940322_Po sup2_08.RCC,20210525_209193940322_Po sup3_09.RCC,20210525_209193940322_Sa FESS1 1_10.RCC,20210525_209193940322_Sa FESS1 2_11.RCC
Endogenous,alsS,SAOUHSC_02468.1,1564.00,2376.00,1411.00,4.00,1604.00,1618.00,1616.00,8714.00,6480.00,4623.00,2034.00,40729.00
Endogenous,arlR,SAOUHSC_01420.1,2552.00,2491.00,1992.00,3.00,3669.00,3564.00,2913.00,5675.00,4714.00,3527.00,2445.00,22444.00
Endogenous,aur,SAOUHSC_02971.1,365.00,343.00,239.00,1.00,333.00,282.00,300.00,855.00,931.00,562.00,1822.00,16055.00
Endogenous,ccpA,SAOUHSC_01850.1,6464.00,6129.00,4927.00,3.00,10087.00,10619.00,9893.00,11540.00,7921.00,5846.00,22989.00,28368.00
Endogenous,cidA,SAOUHSC_02851.1,296.00,403.00,158.00,1.00,1786.00,1781.00,1958.00,3159.00,977.00,507.00,472.00,29666.00
Endogenous,cna,Hntr_cna.1,40.00,35.00,30.00,1.00,41.00,54.00,48.00,49.00,33.00,24.00,58.00,64.00
Endogenous,codY,SAOUHSC_01228.1,6062.00,5752.00,5476.00,1.00,6795.00,7415.00,6585.00,6869.00,6555.00,6232.00,8757.00,22531.00
Endogenous,cymR,Hntr_cymR.1,2802.00,2652.00,1906.00,2.00,4897.00,5087.00,4474.00,3455.00,2336.00,1487.00,6201.00,20167.00
Endogenous,fadX,SAOUHSC_00199.1,143.00,140.00,109.00,1.00,1432.00,1740.00,1246.00,265.00,221.00,142.00,4428.00,13686.00
Endogenous,fbnA,SAOUHSC_02803.1,349.00,306.00,231.00,3.00,1205.00,688.00,658.00,599.00,327.00,208.00,603.00,16682.00
Endogenous,fib,SAOUHSC_01114.1,5412.00,6164.00,3757.00,2.00,6605.00,4496.00,3777.00,7264.00,8123.00,6202.00,14076.00,26480.00
Endogenous,gap,SAOUHSC_00795.1,163975.00,146336.00,138266.00,27.00,259899.00,300917.00,278913.00,219815.00,167594.00,127986.00,20433.00,37555.00
Endogenous,gltB,SAOUHSC_00435.1,400.00,397.00,370.00,2.00,1464.00,2202.00,1838.00,329.00,357.00,208.00,634.00,23913.00
Endogenous,hla,SAOUHSC_01121.1,11769.00,11184.00,9061.00,1.00,7828.00,4892.00,4861.00,7968.00,18993.00,18904.00,5268.00,27838.00
Endogenous,hld,SAOUHSC_02260.1,283618.00,218160.00,264951.00,218.00,14806.00,9482.00,5410.00,44750.00,174716.00,199544.00,95986.00,58197.00
Endogenous,icaB,SAOUHSC_03004.1,60.00,65.00,41.00,1.00,180.00,145.00,186.00,154.00,117.00,48.00,426.00,17684.00
Endogenous,ilvE,SAOUHSC_00536.1,4239.00,4211.00,3548.00,6.00,7820.00,9366.00,7860.00,5446.00,3297.00,2566.00,3733.00,20356.00
Endogenous,isaB,SAOUHSC_02972.1,10539.00,10624.00,11379.00,3.00,15953.00,18002.00,17355.00,15613.00,15557.00,14919.00,357801.00,18775.00
Endogenous,ldh1,SAOUHSC_00206.1,243215.00,252130.00,203816.00,38.00,193708.00,219236.00,214338.00,275338.00,267557.00,198544.00,2153.00,24425.00
Endogenous,lrgA,SAOUHSC_00232.1,15520.00,9707.00,13215.00,1.00,1522.00,761.00,890.00,525.00,10908.00,12254.00,832.00,35208.00
Endogenous,nanA,SAOUHSC_00295.1,715.00,770.00,570.00,5.00,387.00,350.00,399.00,3568.00,3217.00,2902.00,883.00,14844.00
Endogenous,narG,SAOUHSC_02681.1,17197.00,13999.00,14039.00,1.00,2067.00,1354.00,2656.00,20118.00,18167.00,17199.00,655.00,22213.00
Endogenous,opp3b,Hntr_opp3b.1,786.00,705.00,562.00,1.00,966.00,901.00,851.00,1033.00,807.00,492.00,13.00,15.00
Endogenous,pgi,SAOUHSC_00900.1,19364.00,17679.00,16525.00,2.00,19079.00,21743.00,21101.00,15032.00,12897.00,10551.00,15323.00,29665.00
Endogenous,purR,SAOUHSC_00467.1,3534.00,3366.00,2746.00,7.00,7347.00,7662.00,5890.00,9700.00,6664.00,5401.00,3200.00,22353.00
Endogenous,rex,SAOUHSC_02273.1,3947.00,4094.00,2918.00,1.00,9261.00,9671.00,8155.00,13592.00,6077.00,3832.00,4094.00,21204.00
Endogenous,saeR,SAOUHSC_00715.1,11448.00,10974.00,8927.00,2.00,9274.00,8079.00,7248.00,8958.00,14463.00,12688.00,73915.00,14465.00
Endogenous,seb,Hntr_seb.1,64.00,65.00,63.00,4.00,52.00,55.00,50.00,61.00,64.00,52.00,44.00,44.00
Endogenous,spa,SAOUHSC_00069.1,108607.00,103656.00,83562.00,4.00,160547.00,174257.00,205043.00,148508.00,83812.00,69973.00,2577.00,13930.00
Endogenous,srrA,SAOUHSC_01586.1,29484.00,28047.00,23372.00,5.00,40826.00,42697.00,41746.00,41863.00,33145.00,25574.00,6078.00,29047.00
Endogenous,sspB,SAOUHSC_00987.1,181.00,177.00,173.00,1.00,310.00,287.00,302.00,341.00,294.00,183.00,652.00,10344.00
Endogenous,tst,Hntr_tst.1,8.00,11.00,7.00,1.00,2.00,10.00,3.00,10.00,4.00,12.00,7.00,36.00
Housekeeping,gmk,SAOUHSC_01176.1,6493.00,5979.00,3906.00,3.00,13097.00,12779.00,10200.00,10818.00,5797.00,3577.00,16435.00,25952.00
Housekeeping,gyrA,SAOUHSC_00006.1,5656.00,5509.00,4260.00,1.00,7721.00,8601.00,7317.00,10558.00,7888.00,6058.00,63320.00,36712.00
Housekeeping,nuc,SAOUHSC_01316.1,720.00,723.00,476.00,1.00,1415.00,1259.00,1253.00,1691.00,1081.00,708.00,1500.00,38735.00
Housekeeping,rho,SAOUHSC_02362.1,7822.00,7227.00,5386.00,2.00,10530.00,10102.00,7612.00,10762.00,9563.00,6713.00,1347.00,30630.00
Housekeeping,rplD,SAOUHSC_02511.1,66839.00,66327.00,43885.00,24.00,132141.00,130114.00,111907.00,135767.00,92983.00,53108.00,12883.00,46549.00
Housekeeping,rpoB,SAOUHSC_00524.1,14142.00,14541.00,9592.00,1.00,26819.00,27580.00,24768.00,28669.00,20394.00,12815.00,71862.00,31680.00
